iso2,pais,year,forest_area_km2,forest_area_pct_land,ghg_total_incl_lulucf_mt_co2e,co2_excl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,gdp_per_capita_ppp_const2021_intl,population_total,internet_users_pct_pop,mobile_subscriptions_per100,agriculture_va_pct_gdp,manufacturing_va_pct_gdp,services_va_pct_gdp,child_employment_pct_7to14,renewable_energy_pct_final_energy,renewable_electricity_output_pct,rd_expenditure_pct_gdp,account_ownership_pct_adults,domestic_credit_private_pct_gdp,wgi_voice_accountability_est,wgi_government_effectiveness_est,wgi_rule_of_law_est,wgi_control_corruption_est,wgi_regulatory_quality_est,wgi_political_stability_est,tax_revenue_pct_gdp,natural_resources_rents_pct_gdp,vulnerable_employment_pct_total,stock_market_cap_pct_gdp,trade_pct_gdp,fdi_inflows_pct_gdp,co2_emissions_kt
CR,Costa Rica,2001,28586.18,55.9854680767724,26.2708,5.5322,7854.2339580182,14250.4627491739,4008947.0,9.55948213497093,8.15535850187094,8.37953627007384,17.4274244196446,56.6907655570513,,32.1,,,,,,,,,,,13.3610338036884,1.05121844888149,28.0625082014914,,80.852758718109,3.89233617537996,
CR,Costa Rica,2002,28600.16,56.0128476302389,23.8368,5.6463,7989.55926102157,14495.9925105457,4075705.0,19.8948511346293,12.3286155401335,8.42775029018437,17.3932522835422,57.4530046864413,,32.5,97.8013289036545,,,,1.1280853,0.2004916,0.600659,0.4588684,0.3237584,0.9303167,13.368108901546,0.981118861036768,28.7288276392763,,80.4139443360039,4.36202694033196,
CR,Costa Rica,2003,28614.14,56.0402271837054,21.8207,6.0688,8207.45746763047,14891.3398216888,4138784.0,20.3336148143541,18.8050161593357,8.84007800871514,17.1022291306201,57.7731241504416,,33.3,99.1938816583926,0.3619,,,1.0817593,0.1932721,0.5568333,0.4825793,0.3996287,0.6002004,13.5849516097946,1.02044880139504,26.8838561691876,3.013531827231,83.3277075355642,4.48353970316272,
CR,Costa Rica,2004,28628.12,56.0676067371719,19.6445,6.1802,8445.52914945791,15323.2892201469,4200078.0,20.7923067055542,21.977782317376,8.85240876800238,16.888551555915,57.2988154289491,5.7,39.2,96.2348143639683,0.37288,,,1.0488429,0.2661532,0.5530801,0.3790831,0.5795472,0.6926827,13.3589275001756,1.00110593588162,28.1598751397948,8.37318749280863,85.2564771965872,5.8231265333186,
CR,Costa Rica,2005,28642.1,56.0949862906385,17.6022,6.3561,8655.33965418585,15703.9624720506,4261240.0,22.07,25.8447071744375,8.62223694626727,16.8674893774669,57.7916436421547,,41.7,95.584382566586,,,35.8602191338169,1.0234028,0.2312006,0.6186681,0.3850864,0.6683094,0.8271663,13.635396985214,1.12142978712725,26.0154200192253,7.53588614603866,89.2226638923224,7.62843539507747,
CR,Costa Rica,2006,28656.08,56.122365844105,17.8464,6.9054,9160.29437453236,16620.1356432064,4321340.0,25.10000038,33.4090120194199,8.42982819706634,16.485979174058,58.1777820197184,,42.4,92.7713004484305,0.42693,,37.8629840925685,1.051927,0.1677132,0.5369891,0.39918,0.5506422,0.8662239,13.8416637386242,1.49198409303492,26.5230861977778,8.27543599299201,89.8145546136931,7.92850433097117,
CR,Costa Rica,2007,28670.06,56.1497453975715,18.6315,7.7137,9779.51149389818,17743.6227382356,4380248.0,28.39999962,34.4322741543401,7.91531104342903,16.1311206000911,57.9758953727124,,41.2,91.8558011049724,0.35655,,43.7723776439847,1.0639641,0.2444248,0.5276824,0.4565309,0.6107519,0.8132129,14.8564701560594,1.63840228211153,24.652112632804,8.11547066709238,86.4565958439349,8.33742597856098,
CR,Costa Rica,2008,28684.04,56.177124951038,18.4877,7.6303,10104.9092039691,18334.0135988616,4440056.0,32.29,42.4897794081876,6.97696046934205,15.1342550082888,59.4254091302356,,40.7,92.720920413764,0.38593,,49.3806062420387,1.0271486,0.2763826,0.5507059,0.4877144,0.7521592,0.5795087,15.2325099066937,1.48654911478283,24.5906131158125,6.18578576204556,86.4015127113254,7.90900698278232,
CR,Costa Rica,2009,28698.02,56.2045045045045,17.9877,7.3188,9883.67567046297,17932.6147807275,4499791.0,34.33,43.3424130142933,7.04962970066208,14.1529986927289,61.0597628286368,,40.7,95.0620837808808,0.51718,,47.6533510789576,1.0597232,0.4024005,0.6269671,0.6186572,0.7307018,0.7203643,13.1830719882569,1.2301475943504,24.5211458632142,4.77621038518597,69.7593177251535,5.25151067245965,
CR,Costa Rica,2010,28712.0,56.231884057971,17.8212,7.2362,10285.0856660419,18660.9198222783,4555962.0,36.5,68.6654541894774,6.48518940835947,14.5756507627767,61.907753060789,,40.4,92.5105916727538,0.4799,,44.3141331651118,1.1191398,0.4026744,0.6499221,0.6993258,0.6253571,0.7938234,12.9525420586669,1.62716715850808,23.8317143711872,3.83689077548768,67.512089684107,5.06371170213526,
