codigo_provincia,provincia,codigo_canton,canton,anio,vab,participacion_provincial,vab_group,num_emp,ventas_totales,empleo_prom,plazas
01,AZUAY,0108,Santa Isabel,2020,43.9419,1.0486166433150743,Medio,1347,42747534,2293,2179
01,AZUAY,0108,Santa Isabel,2021,50.39206,1.0940305360423666,Medio,1297,35503967,2102,2173
01,AZUAY,0108,Santa Isabel,2022,56.821349999999995,1.1175868615046984,Medio,1410,59948326,2305,2259
01,AZUAY,0108,Santa Isabel,2023,50.17151000000001,1.0097339102370433,Medio,1308,34233364,2234,2289
01,AZUAY,0108,Santa Isabel,2024,64.69847,1.2136056681084302,Medio,1294,48303849,2162,2331
01,AZUAY,0109,Sigsig,2015,39.86270528276614,0.9258246730805487,Bajo,1299,8518655,1362,1366
01,AZUAY,0109,Sigsig,2016,39.79644935433632,0.9254660511636186,Bajo,1300,8891345,1376,1413
01,AZUAY,0109,Sigsig,2017,44.72650644662355,0.9711226544788149,Bajo,1314,8809862,1435,1414
01,AZUAY,0109,Sigsig,2018,37.72737,0.8111639227892183,Bajo,1342,8120500,1398,1380
01,AZUAY,0109,Sigsig,2019,39.395230000000005,0.8462389460964963,Bajo,1490,12601762,1501,1479
01,AZUAY,0109,Sigsig,2020,36.18279,0.863455512746928,Bajo,1405,12574161,1494,1373
01,AZUAY,0109,Sigsig,2021,35.59493,0.7727792899970851,Bajo,1199,6400535,1342,1414
01,AZUAY,0109,Sigsig,2022,38.010369999999995,0.7476043795674044,Bajo,1401,9341903,1325,1405
01,AZUAY,0109,Sigsig,2023,32.96414,0.663424520804762,Bajo,1396,10307035,1421,1374
01,AZUAY,0109,Sigsig,2024,42.15006999999999,0.7906456499383538,Bajo,1451,12215605,1438,1407
01,AZUAY,0110,Oña,2015,5.44866349912743,0.1265470335498395,Bajo,223,1536552,248,237
01,AZUAY,0110,Oña,2016,5.342289218110708,0.12423488494759825,Bajo,217,1500802,240,231
01,AZUAY,0110,Oña,2017,5.255273323907543,0.11410493208127745,Bajo,229,1941852,255,245
01,AZUAY,0110,Oña,2018,5.979769999999999,0.12856909163234234,Bajo,222,1720826,242,237
01,AZUAY,0110,Oña,2019,7.447349999999999,0.15997463690938574,Bajo,210,1534154,255,253
01,AZUAY,0110,Oña,2020,7.422140000000001,0.17711977709235482,Bajo,223,1702358,269,250
01,AZUAY,0110,Oña,2021,7.594469999999999,0.16487879410084982,Bajo,218,1618313,249,237
01,AZUAY,0110,Oña,2022,7.72274,0.15189418693531206,Bajo,200,950547,244,238
01,AZUAY,0110,Oña,2023,6.123709999999999,0.12324360266329801,Bajo,232,1875900,244,255
01,AZUAY,0110,Oña,2024,7.96839,0.14947004573212525,Bajo,232,2283691,254,241
01,AZUAY,0111,Chordeleg,2015,18.902726296475986,0.4390221453768723,Bajo,918,9180349,813,785
01,AZUAY,0111,Chordeleg,2016,19.400144076541608,0.45115016595232754,Bajo,873,9401179,800,780
01,AZUAY,0111,Chordeleg,2017,21.321173884567536,0.4629352172653021,Bajo,895,10414435,786,792
01,AZUAY,0111,Chordeleg,2018,20.149109999999997,0.43321946661830557,Bajo,924,11098788,823,832
01,AZUAY,0111,Chordeleg,2019,22.83407,0.49049286758558397,Bajo,849,7037604,783,762
01,AZUAY,0111,Chordeleg,2020,21.264550000000003,0.507450998764404,Bajo,794,6427562,764,751
01,AZUAY,0111,Chordeleg,2021,20.65682,0.44846731523836647,Bajo,910,12913424,808,810
01,AZUAY,0111,Chordeleg,2022,23.060589999999998,0.45356564746431816,Bajo,897,11226423,842,799
01,AZUAY,0111,Chordeleg,2023,17.862350000000003,0.359491283230715,Bajo,952,15010857,893,781
01,AZUAY,0111,Chordeleg,2024,25.345419999999997,0.47542616344078564,Bajo,863,8007459,787,772
01,AZUAY,0112,El Pan,2015,5.526246641243512,0.12834892799419967,Bajo,119,445398,138,141
01,AZUAY,0112,El Pan,2016,5.355741269982291,0.12454771228590662,Bajo,118,411475,138,138
01,AZUAY,0112,El Pan,2017,6.060695826371642,0.1315926390521614,Bajo,126,468184,137,146
01,AZUAY,0112,El Pan,2018,5.69505,0.12244741943264897,Bajo,115,399105,129,138
01,AZUAY,0112,El Pan,2019,6.765959999999999,0.14533787110091878,Bajo,126,462922,137,144
01,AZUAY,0112,El Pan,2020,6.2773200000000005,0.1498001276097434,Bajo,109,246503,121,138
01,AZUAY,0112,El Pan,2021,5.126429999999999,0.1112967193816579,Bajo,124,527375,150,143
01,AZUAY,0112,El Pan,2022,5.62908,0.11071517748801935,Bajo,124,498421,145,139
01,AZUAY,0112,El Pan,2023,4.005559999999999,0.08061447146974626,Bajo,123,510284,142,146
01,AZUAY,0112,El Pan,2024,5.741599999999999,0.10770020224607106,Bajo,118,379398,134,140
01,AZUAY,0113,Sevilla De Oro,2015,172.98090303448024,4.017539373332834,Bajo,284,5422653,346,352
01,AZUAY,0113,Sevilla De Oro,2016,178.48814080421485,4.150740016498827,Bajo,292,5464885,320,367
01,AZUAY,0113,Sevilla De Oro,2017,186.68074323232116,4.053298889422551,Bajo,295,5817366,327,377
01,AZUAY,0113,Sevilla De Oro,2018,140.42372999999998,3.0192049877713187,Bajo,295,5797809,341,353
01,AZUAY,0113,Sevilla De Oro,2019,161.80250999999998,3.4756386886982957,Bajo,288,5279879,342,361
01,AZUAY,0113,Sevilla De Oro,2020,148.31584000000007,3.5393658055581505,Bajo,282,5019526,332,358
