codigo_provincia,provincia,codigo_canton,canton,anio,vab,participacion_provincial
11,LOJA,1109,Paltas,2015,44.21466482085864,2.84697839173579
11,LOJA,1109,Paltas,2016,44.787405159888664,2.897370439620442
11,LOJA,1109,Paltas,2017,41.59058101040959,2.713174626539611
11,LOJA,1109,Paltas,2018,34.48216,2.258401081067125
11,LOJA,1109,Paltas,2019,39.67259,2.445603394224122
11,LOJA,1109,Paltas,2020,35.54321000000001,2.5259871393240654
11,LOJA,1109,Paltas,2021,32.04713,2.197430186207848
11,LOJA,1109,Paltas,2022,35.50082,1.9960241466789048
11,LOJA,1109,Paltas,2023,38.88813,2.074386024356298
11,LOJA,1109,Paltas,2024,39.43377,2.220542899721142
11,LOJA,1110,Puyango,2007,18.78540200540505,2.318234357569166
11,LOJA,1110,Puyango,2008,22.301174278639767,2.322208713666972
11,LOJA,1110,Puyango,2009,24.891715377963102,2.3745530555981618
11,LOJA,1110,Puyango,2010,23.420835986423448,2.230218184386761
11,LOJA,1110,Puyango,2011,24.359482861301704,2.002791949013977
11,LOJA,1110,Puyango,2012,27.34733178979601,2.150984251956113
11,LOJA,1110,Puyango,2013,29.40843268130644,2.0882443253241383
11,LOJA,1110,Puyango,2014,27.23365589671631,1.9518445115630074
11,LOJA,1110,Puyango,2015,27.079983721045235,1.7436777778308974
11,LOJA,1110,Puyango,2016,27.133995154256333,1.7553424939017397
11,LOJA,1110,Puyango,2017,31.43141349764375,2.050438140230295
11,LOJA,1110,Puyango,2018,35.67363999999999,2.3364367876490166
11,LOJA,1110,Puyango,2019,37.64339,2.320514046451274
11,LOJA,1110,Puyango,2020,33.27589,2.3648530954171623
11,LOJA,1110,Puyango,2021,33.36236,2.287613803393105
11,LOJA,1110,Puyango,2022,40.33406,2.267771778048951
11,LOJA,1110,Puyango,2023,40.5703,2.164117002384592
11,LOJA,1110,Puyango,2024,39.75592,2.2386833893356313
11,LOJA,1111,Saraguro,2007,28.334797405521407,3.496688590499241
11,LOJA,1111,Saraguro,2008,35.03332848809147,3.6480007584948346
11,LOJA,1111,Saraguro,2009,36.547357939317486,3.4864467615468775
11,LOJA,1111,Saraguro,2010,40.01436170774547,3.810314762845108
11,LOJA,1111,Saraguro,2011,45.25658416536071,3.720913244437174
11,LOJA,1111,Saraguro,2012,48.84876284545776,3.8421634847507846
11,LOJA,1111,Saraguro,2013,45.98651625219158,3.2654267109619814
11,LOJA,1111,Saraguro,2014,48.007223634543955,3.4406925137715603
11,LOJA,1111,Saraguro,2015,54.10235410571612,3.483645837983324
11,LOJA,1111,Saraguro,2016,53.26774984506791,3.4459777974460306
11,LOJA,1111,Saraguro,2017,56.146053756598995,3.662705466764365
11,LOJA,1111,Saraguro,2018,39.84122,2.609391474287955
11,LOJA,1111,Saraguro,2019,45.01977,2.7752284970350893
11,LOJA,1111,Saraguro,2020,39.43600000000001,2.802640189965505
11,LOJA,1111,Saraguro,2021,37.30144000000001,2.5577114158123018
11,LOJA,1111,Saraguro,2022,42.975120000000004,2.416264672940612
11,LOJA,1111,Saraguro,2023,47.194370000000006,2.5174607664678184
11,LOJA,1111,Saraguro,2024,48.472640000000006,2.7295279295573063
11,LOJA,1112,Sozoranga,2007,9.39100131033106,1.1589074262729415
11,LOJA,1112,Sozoranga,2008,10.52789354198947,1.0962636233546965
11,LOJA,1112,Sozoranga,2009,12.090047014876811,1.153333856087599
11,LOJA,1112,Sozoranga,2010,10.130403365056,0.9646542853131889
11,LOJA,1112,Sozoranga,2011,9.360017669022472,0.769563464745287
11,LOJA,1112,Sozoranga,2012,10.075678621587093,0.7924950854215083
11,LOJA,1112,Sozoranga,2013,10.043439496598333,0.7131680821888696
11,LOJA,1112,Sozoranga,2014,8.591552903385196,0.615759244512507
11,LOJA,1112,Sozoranga,2015,8.772861135422973,0.5648837594368736
11,LOJA,1112,Sozoranga,2016,9.597409287244293,0.6208720926459101
11,LOJA,1112,Sozoranga,2017,9.138860305556449,0.5961764249054332
11,LOJA,1112,Sozoranga,2018,7.5661499999999995,0.4955432414766368
11,LOJA,1112,Sozoranga,2019,8.726760000000002,0.5379581690174327
11,LOJA,1112,Sozoranga,2020,8.49264,0.6035554869385497
11,LOJA,1112,Sozoranga,2021,7.2271600000000005,0.4955569982258602
11,LOJA,1112,Sozoranga,2022,7.9347,0.4461263936059254
