iso2,year,tecnologia
DO,1991,5.62
DO,1992,6.44
DO,1993,6.98
DO,1994,7.17
DO,1995,7.39
DO,1996,7.7
DO,1997,8.62
DO,1998,9.29
DO,1999,9.79
DO,2000,10.4164050422929
DO,2001,10.9531422317372
DO,2002,10.2681074327557
DO,2003,10.1196687979226
DO,2004,9.90959585242746
DO,2005,9.71543302713031
DO,2006,9.60291646143749
DO,2007,9.58669401960181
DO,2008,10.2966427908114
DO,2009,9.95767521568518
DO,2010,10.3146023365164
DO,2011,11.0580324747947
DO,2012,11.2105354985015
DO,2013,11.4878181739881
DO,2014,11.886051785231
DO,2015,12.5058877342408
DO,2016,12.7479498039602
DO,2017,12.4671470274757
DO,2018,11.8547738542929
DO,2019,11.1169104069077
DO,2020,10.4965616852738
DO,2021,10.3804781886525
DO,2022,10.1853805815363
DO,2023,10.0978399146079
DO,2024,10.0576614931783
DO,2025,
EC,1990,4.68
EC,1991,4.59
EC,1992,4.86
EC,1993,5.36
EC,1994,5.79
EC,1995,6.02
EC,1996,6.78
EC,1997,7.48
EC,1998,8.09
EC,1999,9.06
EC,2000,9.64939019825196
EC,2001,10.3462078858377
EC,2002,10.7398714249267
EC,2003,11.4467916004913
EC,2004,11.6892494000713
EC,2005,12.1302053139198
EC,2006,12.6026940967679
EC,2007,12.7234900015514
EC,2008,13.0802852680875
EC,2009,13.5790452337839
EC,2010,13.8336618204454
EC,2011,14.4236934504494
EC,2012,14.8256051780501
EC,2013,15.149943746897
EC,2014,15.2271351316024
EC,2015,15.4470812988262
EC,2016,14.8536949613087
EC,2017,14.4109386432868
EC,2018,13.8454177110981
EC,2019,12.6634218032377
EC,2020,11.7578727766026
EC,2021,10.4434938725134
EC,2022,9.22490743747004
EC,2023,7.97794426199256
EC,2024,6.71806941068771
EC,2025,
SV,1990,2.31
SV,1991,2.37
SV,1992,2.95
SV,1993,3.07
SV,1994,4.13
SV,1995,4.94
SV,1996,5.6
SV,1997,6.17
SV,1998,6.57
SV,1999,8.38
SV,2000,10.5207217593532
SV,2001,10.88928395492
SV,2002,11.1531677833493
SV,2003,12.547013060883
SV,2004,14.78542288162
SV,2005,16.1758784916289
SV,2006,17.2729406750957
SV,2007,17.9719572486649
SV,2008,17.8657478641374
SV,2009,18.1725743802493
SV,2010,16.4940660806766
SV,2011,16.908383027152
SV,2012,17.3209736709751
SV,2013,15.646851139116
SV,2014,15.4759040103327
SV,2015,15.2703020015926
SV,2016,15.1784285898594
SV,2017,14.9421110340928
SV,2018,14.8401550080252
SV,2019,14.3616896468486
SV,2020,14.339164219198
SV,2021,13.6847799363853
SV,2022,13.7368340684605
SV,2023,13.9386752681301
SV,2024,13.9645637171352
SV,2025,
GT,1990,2.11
GT,1991,2.18
GT,1992,2.25
GT,1993,2.36
GT,1994,2.44
GT,1995,2.78
GT,1996,3.19
GT,1997,3.96
GT,1998,4.64
GT,1999,5.35
GT,2000,5.78436143096801
GT,2001,6.31680460426577
GT,2002,6.90760081212289
GT,2003,7.5375371971002
GT,2004,8.83958354707692
GT,2005,9.53695279717969
GT,2006,10.1360026613884
GT,2007,10.3551923375554
GT,2008,10.3973656877194
GT,2009,9.94142284844457
GT,2010,10.3351201701063
GT,2011,10.9946399861656
GT,2012,11.5565460212555
GT,2013,12.1076960880235
GT,2014,10.9573277174546
GT,2015,10.7618248052201
GT,2016,15.0889065915288
GT,2017,14.8551697171734
GT,2018,14.461228498574
GT,2019,11.5413279724983
GT,2020,13.0922650811689
GT,2021,13.1808008000614
GT,2022,10.744527206233
GT,2023,10.7057398250953
GT,2024,10.774939247898
GT,2025,
HT,1990,0.657
HT,1991,0.643
HT,1992,0.631
HT,1993,0.618
HT,1994,0.674
HT,1995,0.793
HT,1996,0.778
HT,1997,0.764
HT,1998,0.812
HT,1999,0.859
HT,2000,0.873162489758406
HT,2001,0.946082968165018
HT,2002,1.51028603539576
HT,2003,1.59818957085414
HT,2004,1.57122185955678
HT,2005,1.60352745138569
HT,2006,1.62750491994737
HT,2007,1.15583675155463
HT,2008,1.13317134578996
HT,2009,1.10427891567241
