iso2,year,indice_riesgo_climatico,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab
CO,1992,,1730.390917953288,3.65200984470421,68.66500728508986,
CO,1993,,1929.2672181173755,2.98064670992827,73.25397442879743,
CO,1994,,2325.918729733743,2.41695103636019,78.49259822743848,
CO,1995,,2583.6657634985836,3.12840978420135,76.40462590130161,
CO,1996,,2664.6405605998307,3.72384039434735,82.99202066325354,
CO,1997,,2873.2814350993003,3.06670230612638,71.64443448043941,
CO,1998,,2604.8716695951766,2.05430024171781,69.74630821658462,
CO,1999,,2241.229118012161,4.32181182919172,79.8608192050815,
CO,2000,,2555.0075103996796,5.79241275178545,74.13816048781618,
CO,2001,,2472.9908403583336,3.898278216233,76.81060117842019,
CO,2002,,2428.9296977158447,3.95007189063968,79.11010477712662,
CO,2003,,2311.9421876029073,4.56302920257189,82.04253765011708,
CO,2004,,2818.5719541304416,5.92813672580534,82.29010980171338,
CO,2005,,3456.066108745124,6.26115845587611,83.59198712855553,
CO,2006,,3789.8536121702714,7.29062678619221,80.76616082719632,
CO,2007,,4769.926147194003,6.6997731158152,81.56751520857473,
CO,2008,,5541.836296658978,8.78822691726813,83.93597283045848,
CO,2009,,5250.972924335177,4.85703346033699,73.1129715165512,
CO,2010,,6398.295844710204,6.70109253013503,68.5384551947088,
CO,2011,,7400.994069566899,9.86049155221695,79.75637995079357,
CO,2012,,8108.598382442293,8.29683079092449,76.79469302318262,
CO,2013,,8279.102556429807,7.3843393604104,61.65828840150809,
CO,2014,,8187.208248900844,6.53057789835517,65.0719129896443,
CO,2015,,6248.514905345122,3.70587614553491,58.84156954552394,
CO,2016,,5959.842503675744,3.09947714544169,63.01041666666667,
CO,2017,,6479.532312924286,3.72823321108347,74.4765766902119,
CO,2018,,6816.968183095439,4.940258188938,73.2358465790428,
CO,2019,,6472.545449247049,4.30433092902696,70.1969657402226,
CO,2020,,5339.687113579434,2.55119417609951,65.27714993274586,
CO,2021,,6222.621643976142,5.32396445388134,75.12462226663811,
CO,2022,,6680.445068544809,,,
CO,2023,,7000.836605010462,,,
CO,2024,,7919.2088682534495,,,
CO,2025,,,,,
CR,1990,,1829.6687089558998,3.29362536409102,97.52018454440599,
CR,1991,,2253.38191508071,2.7705851981399,94.87577639751554,
CR,1992,,2612.387564537369,2.57139424487584,82.83794788273615,
CR,1993,,2840.387064793974,2.20327488825599,89.92263843648209,
CR,1994,,3039.563285506332,2.36855202407589,90.14657980456026,
CR,1995,,3275.252564474161,2.90594941109728,82.74943659086253,
CR,1996,,3226.963955986253,2.57877076272718,90.71220324864639,
CR,1997,,3407.7761289850027,2.28730285708989,96.95241489930494,
CR,1998,,3617.4575666672645,1.51817198447363,91.85294661001294,
CR,1999,,3690.9615477829702,1.15423351439575,97.84719974101651,
CR,2000,,3812.7538828492393,1.01441557771135,98.59286023991906,
CR,2001,,3985.129845062071,1.05121844888149,,
CR,2002,,4067.718514290924,0.981118861036768,97.80132890365448,
CR,2003,,4173.148564155143,1.02044880139504,99.19388165839258,
CR,2004,,4431.011720784304,1.00110593588162,96.23481436396834,
CR,2005,,4703.007217847779,1.12142978712725,95.58438256658596,
CR,2006,,5256.596408591589,1.49198409303492,92.7713004484305,
CR,2007,,6137.711999255424,1.63840228211153,91.85580110497239,
CR,2008,,6937.242615960555,1.48654911478283,92.72092041376399,
CR,2009,,6832.69829924138,1.2301475943504,95.06208378088077,
CR,2010,,8265.788202755815,1.62716715850808,92.51059167275383,
CR,2011,,9276.391075113472,1.26384990129987,90.52695280716028,
CR,2012,,10126.999102417712,1.2425772572914,90.94200904265776,
CR,2013,,10803.240196217295,1.34122901696494,87.46634098680997,
CR,2014,,10911.497878334028,1.387670718648,88.98913575413526,
CR,2015,,11714.710598073205,1.13397448273593,98.38938216796153,
CR,2016,,12091.030160615413,1.23322083330008,97.21880717160629,
CR,2017,,12317.090277130377,1.13383955527767,98.73751871092719,
CR,2018,,12590.24937816141,0.945537295658598,97.70384515233053,
CR,2019,,12884.685995198872,0.759689840900586,98.33226002958837,
CR,2020,,12394.049396949189,0.904748239780319,98.94193878421008,
CR,2021,,12838.11853589308,0.763407374189705,99.36680537018137,
CR,2022,,13625.900849132848,,,
CR,2023,,16942.026811937547,,,
CR,2024,,18587.15322034816,,,
CR,2025,,,,,
CU,1990,,2694.3169795769218,0.889900006052379,10.250266240681576,
CU,1991,,2268.834932471936,0.974175974856255,10.33441533932211,
CU,1992,,2047.6790034642067,0.980780881926143,12.289824926330386,
CU,1993,,2063.2036625358664,0.726531018736827,8.807489547355027,
CU,1994,,2613.2897186912237,0.749040387549148,7.90639364814041,
CU,1995,,2785.244429541026,1.1031987834832,6.1321133317280685,
CU,1996,,2282.188093242024,1.42702180446909,7.683590208522212,
CU,1997,,2306.4248339733626,1.13012663531633,7.069136151562279,
CU,1998,,2332.3065613311883,0.568750635856304,6.191687871077184,
CU,1999,,2561.7798040683765,0.788553451429859,6.789953077560034,
CU,2000,,2751.381771481403,1.9061358593501,6.873336881319851,
CU,2001,,2842.9670431039403,1.17627917876909,6.571017713576051,
CU,2002,,3005.2110424786833,1.36767488938968,6.657748901203899,
