iso2,year,superficie_forestal,co2_emissions_moreno,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno
BR,2009,12573278,385.5933,193615573834.357,4.476773992144533,987730299258.8975,179540928232964.0,0.580940873581299
BR,2010,12499108,439.9219,211408912702.26807,4.115756486470549,1045054736932.8506,17918056347566.0,0.561743548534806
BR,2011,12465118,463.643,216159660370.34583,4.34203412828906,1081190874194.9119,179089586581478.0,0.309147184784296
BR,2012,12431066,497.9036,211017891926.1159,4.168328224241085,1112576871502.6533,178065724175327.0,0.445722677457679
BR,2013,12396949,523.4755,217376496201.12375,4.506886181659561,1143215322423.9714,17808646479648.0,0.461485398879039
BR,2014,12362768,546.4394,207187988125.6831,4.325610538773615,1154480605454.5935,177015835606507.0,0.478429291847583
BR,2015,12328524,517.9408,189609597292.81763,4.3191494293122075,1122919858811.2156,177039242099263.0,0.540326401357824
BR,2016,12275172,482.7112,180570864419.2203,4.8913535872106575,1097975949865.4501,175392009652295.0,0.568345905041914
BR,2017,12221738,494.7579,184741224204.5316,4.600591695204804,1106382748074.4822,177069424524434.0,0.566915913207439
BR,2018,121682205,471.0836,187314291723.85367,4.420399303460195,1129474546217.1711,176710005156737.0,0.47026233829296
BR,2019,1211462,468.5794,186516699449.06503,4.205014095108697,1146553350698.0508,176403296320333.0,0.489465658071561
BR,2020,12060937,447.921,177812870193.1411,5.711485115159201,1103693957535.1704,176280193159025.0,0.457915542974576
BR,2021,11997181,506.2334,184529947607.23505,6.558762612073814,1156703842193.123,175497183763009.0,0.47974339124297
BR,2022,11933271,479.2664,183521261797.72235,5.767474908422181,1205941107645.3625,175259408071113.0,0.38564626890605
BR,2023,11869207,480.235,181185213270.31897,6.023060235141567,1239435032294.9512,175225830575096.0,0.396979617910686
BR,2024,11804989,491.4688,188201970789.66833,5.752276409424899,1286282442539.822,175189097745207.0,
BR,2025,11740615,,,,,,
CL,1990,38703406,33.2212,10588521465.800467,8.164882547276887,37389471698.12408,575163696482061.0,
CL,1991,3894056,31.7926,11153648780.713375,9.162728308021869,40641077346.98352,580941109789277.0,
CL,1992,39178893,32.8748,12426711077.600285,9.089227022579886,45546669224.890686,581721542025472.0,
CL,1993,39418405,34.9064,13328292500.034668,7.929479702999734,48201656177.91466,579398591883391.0,
CL,1994,3965911,38.1389,13872328137.853184,7.444784229758482,50683607078.216896,587898339950986.0,1.17021573352507
CL,1995,39901015,41.7893,14917432886.383545,6.967403126201504,55797556890.88152,585391521918169.0,0.873800935169422
CL,1996,40144128,47.8929,15396883702.52023,5.01955878065988,52034043645.9875,581620133694695.0,0.962605129415037
CL,1997,4038846,54.358,16191030007.600344,5.006550218335102,56299435233.15648,586175896587377.0,1.05247811403558
CL,1998,40634018,54.8619,16112943423.711899,5.394231866747977,59435604229.93209,591949177292128.0,1.39132469976368
CL,1999,40880814,57.3953,16165043525.589289,5.294043319776044,60549073774.78785,578306690207025.0,1.45909094154343
CL,2000,41128856,53.8569,17155031808.96791,5.0829624305111825,63841612115.9572,582882844073755.0,1.48469728599967
CL,2001,41308394,51.6629,17273692055.302483,4.062420264161446,66602966537.00721,597976847233346.0,1.58378608993765
CL,2002,41488236,52.1984,17527935367.628197,4.065033247532842,69863500606.02237,601074731468461.0,1.90510478315326
CL,2003,4166838,54.1255,17877522432.61903,4.094775330938245,74222767638.74236,601588429224078.0,1.78844657205134
CL,2004,41848826,58.5003,18726240028.119335,3.758265825403353,79798966439.13057,605281364319285.0,1.4645087718688
CL,2005,42029577,59.1432,19585235337.177975,3.9222119378950295,85673657058.00447,606762261751968.0,1.30289566638925
CL,2006,42210636,60.3603,20496097585.699326,3.7120451436571402,91990655003.95377,608245257066143.0,1.57209899190495
CL,2007,42391998,67.7521,20848179565.42292,3.55057108879902,99738079601.7649,603612012822602.0,1.42325391433747
CL,2008,42573667,71.324,21476176937.40139,3.4244322613297844,106623679078.57469,602440837764302.0,1.32615758010231
CL,2009,42755646,68.2258,20502782049.029285,3.6971269558848636,106146141560.35071,597914706504645.0,1.23536153992704
CL,2010,4293793,72.323,21206188602.570587,3.4782846318978557,113686243791.05466,612446382710553.0,1.25859386524788
CL,2011,430632,79.0753,23262942261.085773,3.6261832358388064,122518873082.25453,615816452568864.0,1.08760336278995
CL,2012,43188703,81.3485,24464332361.54727,3.274933539617523,130294862999.04906,609308104256121.0,1.2364913525785
CL,2013,4331444,85.4109,24703215078.555893,3.4733753278992627,134456477742.17007,618117965444382.0,1.21856212472656
CL,2014,4344041,78.7046,24826169768.94977,3.9466206299946176,137887817451.86636,613204049271459.0,1.24967366962821
CL,2015,4356662,84.3798,25212084679.686172,3.7094042753649,141456955447.6965,618668462052039.0,1.28168521197445
CL,2016,4358566,88.8653,25189001826.21691,4.1990893712919615,145040615518.44437,621937659070152.0,1.32945208685613
CL,2017,43604735,89.7525,25427044755.422302,4.2809716137703715,147401786286.79245,621971109481682.0,1.27708698420047
CL,2018,43623835,89.8194,26755002590.26689,3.9274359246112347,152615296036.79068,628038365253638.0,1.18780550885814
CL,2019,43642965,95.2476,26275565520.353004,3.9878121713789962,155080418075.27753,625708564286104.0,1.29497937729362
CL,2020,43662128,87.5108,25701217890.112366,4.045426844099469,143153858938.68372,620942304294976.0,1.29149274876467
CL,2021,43702915,89.1084,27167535174.2836,3.505864368136149,165210295148.66885,624367409975301.0,0.998720991975087
CL,2022,437438,90.4279,26498854524.187866,3.2346792584916213,174153416733.6922,620116606065346.0,0.817558468458568
CL,2023,43784785,77.0074,27281504507.970287,3.4902273336242464,176051682751.34927,619981762842585.0,1.10699211042329
