iso2,year,innovacion_financiera_access
AR,1994,0.5
AR,1995,0.498
AR,1996,0.548
AR,1997,0.564
AR,1998,0.553
AR,1999,0.515
AR,2000,0.503
AR,2001,0.509
AR,2002,0.503
AR,2003,0.509
AR,2004,0.653
AR,2005,0.773
AR,2006,0.913
AR,2007,0.902
AR,2008,0.998
AR,2009,0.797
AR,2010,0.5
AR,2011,0.512
AR,2012,0.495
AR,2013,0.558
AR,2014,0.523
AR,2015,0.457
AR,2016,0.544
AR,2017,0.645
AR,2018,0.58
AR,2019,0.534
AR,2020,0.521
UY,1980,0.016
UY,1981,0.017
UY,1982,0.03
UY,1983,0.02
UY,1984,0.018
UY,1985,0.019
UY,1986,0.017
UY,1987,0.014
UY,1988,0.015
UY,1989,0.015
UY,1990,0.013
UY,1991,0.012
UY,1992,0.012
UY,1993,0.02
UY,1994,0.035
UY,1995,0.034
UY,1996,0.034
UY,1997,0.034
UY,1998,0.068
UY,1999,0.068
UY,2000,0.068
UY,2001,0.068
UY,2002,0.068
UY,2003,0.068
UY,2004,0.068
UY,2005,0.068
UY,2006,0.068
UY,2007,0.068
UY,2008,0.068
UY,2009,0.068
UY,2010,0.068
UY,2011,0.068
UY,2012,0.068
UY,2013,0.068
UY,2014,0.068
UY,2015,0.032
UY,2016,0.032
UY,2017,0.063
UY,2018,0.094
UY,2019,0.093
UY,2020,0.093
BR,1980,0.2
BR,1981,0.153
BR,1982,0.133
BR,1983,0.145
BR,1984,0.122
BR,1985,0.112
BR,1986,0.135
BR,1987,0.132
BR,1988,0.118
BR,1989,0.141
BR,1990,0.141
BR,1991,0.155
BR,1992,0.194
BR,1993,0.225
BR,1994,0.226
BR,1995,0.175
BR,1996,0.22
BR,1997,0.27
BR,1998,0.261
BR,1999,0.306
BR,2000,0.319
BR,2001,0.336
BR,2002,0.348
BR,2003,0.37
BR,2004,0.355
BR,2005,0.384
BR,2006,0.4
BR,2007,0.419
BR,2008,0.383
BR,2009,0.385
BR,2010,0.408
BR,2011,0.414
BR,2012,0.428
BR,2013,0.412
BR,2014,0.461
BR,2015,0.425
BR,2016,0.359
BR,2017,0.518
BR,2018,0.39
BR,2019,0.401
BR,2020,0.41
