"COUNTRY.ID","COUNTRY","COUNTRY.Description","INDICATOR.ID","INDICATOR","INDICATOR.Description","FREQUENCY.ID","FREQUENCY","FREQUENCY.Description","TIME_PERIOD","OBS_VALUE","SCALE.ID","SCALE","SCALE.Description"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1989","0.335","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1990","0.316","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1991","0.324","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1992","0.317","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1993","0.342","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1994","0.359","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1995","0.376","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1996","0.333","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1997","0.368","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1998","0.347","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1999","0.383","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2000","0.386","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2001","0.397","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2002","0.403","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2003","0.459","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2004","0.471","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2005","0.492","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2006","0.482","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2007","0.528","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2008","0.503","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2009","0.530","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2010","0.511","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2011","0.507","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2012","0.497","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2013","0.510","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2014","0.493","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2015","0.478","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2016","0.472","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
