anio,trimestre,afiliados_iess,ln_afiliados_iess,fuerza_laboral,ln_fuerza_laboral,tasa_subempleo,ln_tasa_subempleo,sbu,ln_sbu,num_pensionistas,ln_num_pensionistas,tasa_dependencia,ln_tasa_dependencia,gasto_salud_pib,ln_gasto_salud_pib,precio_petroleo_wti,ln_precio_petroleo_wti,dln_afiliados_iess,dln_fuerza_laboral,dln_tasa_subempleo,dln_sbu,dln_num_pensionistas,dln_tasa_dependencia,dln_gasto_salud_pib,dln_precio_petroleo_wti,remesas_pib,matricula_superior,gdp_pc_ppp,embi_ecuador,ln_remesas_pib,dln_remesas_pib,ln_matricula_superior,dln_matricula_superior,ln_gdp_pc_ppp,dln_gdp_pc_ppp,ln_embi_ecuador,dln_embi_ecuador
2003,4,1379298.2404426818,14.137085406374174,5963867.089245057,15.601229669112916,47.84348792884184,3.8679350151962786,129.9849059498555,4.867418335636483,253438.00756876217,12.442874526027273,64.24026424591014,4.162630183047078,5.921711237093186,1.7786254674458242,36.89504621379823,3.6080772930857274,0.013605836110567537,0.01490758095815714,-0.009639696248898044,0.02527679420993234,0.011559981349716253,-0.0029641128055670762,0.0006868075845911648,0.06986152613149654,5.198890828702216,38.18709250085601,9957.07091004307,845.9861871957231,1.648445300662587,-0.010790205001733666,3.642497565866198,-1.5737679697203077e-06,9.20603822199003,0.011332717834120487,6.740503032281117,-0.09500102944228583
2004,1,1399715.5701551451,14.151779609769955,6039593.410796735,15.613847251551912,47.353457485056154,3.8576398367140294,133.23343899009032,4.892102770069297,256419.46234820245,12.45456990734216,64.04672040336693,4.159612823337284,5.897509164952387,1.7745300863387377,39.752971400740805,3.6826845905264274,0.014694203395780647,0.012617582438995356,-0.010295178482249145,0.024684434432813873,0.011695381314886788,-0.0030173597097942206,-0.004095381107086515,0.07460729744069994,5.157547783872586,38.1870632225038,10090.906629758922,812.7641749252583,1.6404612308495965,-0.00798406981299049,3.6424967991578283,-7.667083696816235e-07,9.219389963598307,0.013351741608277123,6.700440999727416,-0.04006203255370089
2004,2,1419971.3402263874,14.166147246434601,6090093.99308801,15.622174073571577,46.87425924880676,3.8474686814735883,136.6889697206659,4.917708050793745,259462.82303360713,12.466368707485172,63.850384424028505,4.1565426031969706,5.8682252850838275,1.7695522516848508,43.00487130977368,3.7613133955509634,0.014367636664646355,0.008326822019665059,-0.010171155240441099,0.025605280724448676,0.011798800143012045,-0.003070220140313218,-0.004977834653886903,0.07862880502453606,5.176379189518711,38.18711160883324,10227.37696757872,803.7863425722369,1.6441058136958622,0.003644582846265676,3.6424980662439745,1.26708614622828e-06,9.232823420161774,0.013433456563467061,6.689333490793663,-0.011107508933752896
2004,3,1439556.4724093904,14.179845618837561,6115656.855032907,15.626362738347355,46.42193626664213,3.8377721118816326,140.375264784283,4.944319299320643,262561.54710997734,12.478240798712017,63.651333155840916,4.1534202698876195,5.84749130257105,1.7660127320994687,46.587599344435745,3.8413343972299505,0.01369837240295979,0.004188664775778506,-0.00969656959195575,0.02661124852689767,0.011872091226845072,-0.0031223333093510774,-0.0035395195853820116,0.08002100167898707,5.298337549860008,38.187279882310186,10348.061611092027,792.9039407266979,1.6673931015156687,0.02328728781980649,3.6425024727858446,4.406541870061176e-06,9.244554497201225,0.01173107703945142,6.675702080283278,-0.013631410510384967
2004,4,1459475.7585194313,14.19358785969639,6130320.8997178925,15.628757655598983,45.989890288173065,3.8284215959906716,144.12651495187947,4.970691489908685,265709.2365452317,12.490157894204398,63.44966780746765,4.150246958645788,5.838827118376555,1.7645299407754813,50.34406341228079,3.9188807058035464,0.01374224085882858,0.0023949172516282147,-0.00935051589096103,0.026372190588041633,0.011917095492380625,-0.0031733112418317333,-0.0014827913239874313,0.0775463085735959,5.516599869050939,38.187503938752926,10447.813579001986,769.9769319964653,1.7077617047525209,0.04036860323685221,3.642508340074275,5.867288430216888e-06,9.254148008612196,0.00959351141097109,6.646360555952818,-0.029341524330460445
2005,1,1480806.7308958725,14.208097585676713,6148785.751744602,15.631765181548392,45.57043516263753,3.8192591545529426,147.76780199051683,4.995642136273664,268899.500249604,12.502092983756173,63.24549075808963,4.147023832703989,5.845266767502799,1.765632234173871,54.11265739764259,3.9910681214752124,0.014509725980323296,0.0030075259494086737,-0.00916244143772893,0.0249506463649789,0.011935089551775135,-0.0032231259417985214,0.001102293398389742,0.07218741567166598,5.774567651181019,38.18761334733225,10534.759221125361,740.8739910071496,1.753463388008928,0.04570168325640722,3.6425112051063224,2.8650320476053537e-06,9.262435470839504,0.00828746222730814,6.60783055821357,-0.03852999773924726
2005,2,1504605.5423246087,14.224041323688214,6185548.451534734,15.637726234337318,45.156064991111144,3.810124600655753,151.12528641450925,5.018109204149103,272126.21813400736,12.514021274903522,63.03890528212096,4.143752079950254,5.8696988159642824,1.769803323488606,57.73108738225594,4.0557958045485965,0.01594373801150084,0.005961052788926224,-0.009134553897189424,0.022467067875439284,0.011928291147349057,-0.0032717527537355906,0.004171089314734866,0.06472768307338406,6.013478248163023,38.18743305432124,10617.60198863167,712.1598233416557,1.7940033245944564,0.04053993658552835,3.6425064838519465,-4.721254375894546e-06,9.270268467851833,0.007832997012329201,6.568302357207605,-0.039528201005965435
2005,3,1530769.8827949604,14.24128135817955,6244128.904931832,15.64715220501228,44.749040919066054,3.8010700125150185,154.0835812479969,5.037495190562656,275397.9544293601,12.525972437614248,62.830063162669525,4.140433671709107,5.907129513109603,1.7761600134461093,60.999790487887154,4.110870429542612,0.017240034491337042,0.009425970674961093,-0.009054588140734676,0.01938598641355327,0.011951162710726493,-0.0033184082411468196,0.006356689957503381,0.05507462499401594,6.176803076636845,38.18680526481113,10704.57757310747,690.079264842321,1.8208008361079357,0.02679751151347931,3.642490044028154,-1.643982379251341e-05,9.278426739535938,0.008158271684104434,6.53680646757657,-0.03149588963103511
2005,4,1557469.8741594262,14.258573187022924,6311677.266427105,15.657912010040185,44.36618928538441,3.792477676766377,156.61446734976374,5.053787163387663,278745.1714917745,12.538053279603835,62.619188521872424,4.1370717570450894,5.940810532174419,1.7818455772936754,63.66362616222936,4.153613381623939,0.01729182884337277,0.010759805027905855,-0.008592335748641489,0.01629197282500705,0.012080841989586588,-0.0033619146640173625,0.005685563847566133,0.04274295208132628,6.2593970419660145,38.18596913671051,10793.163195731113,673.5201473184154,1.8340838612982595,0.01328302519032376,3.642468148055219,-2.1895972935226382e-05,9.286668175227211,0.008241435691273225,6.512517909758473,-0.024288557818096912
2006,1,1582734.708596769,14.274664737071925,6374008.296747528,15.667739075613346,44.0255246124483,3.78476957055087,158.69683646136286,5.066995693252788,282200.1180587932,12.550371736752263,62.406511383061336,4.133669619018916,5.953034644374152,1.783901113803933,65.46291999795298,4.181483875440713,0.016091550049001313,0.00982706557316071,-0.0077081062155071045,0.013208529865124774,0.012318457148428053,-0.0034021380261730627,0.002055536510257472,0.0278704938167742,6.3074985382377005,38.18556078074542,10870.07760727273,654.0132985461431,1.8417391697831798,0.007655308484920242,3.6424574541234476,-1.0693931771221798e-05,9.293769119673277,0.007100944446065682,6.483127685418877,-0.02939022433959604
