iso2,pais,year,gei_total_exclulucf_MtCO2e,renew_cons_pct_tfec,wgi_va_est,wgi_ge_est,indice_riesgo_climatico,tecnologia,informalidad,credito_privado_pct_gdp,superficie_forestal,poblacion,incertidumbre_energetica,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno,co2_emissions_moreno,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab,innovacion_financiera_access,forest_area_km2,ghg_total_incl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,trade_pct_gdp,fdi_inflows_pct_gdp,renewable_energy_pct_final_energy,domestic_credit_private_pct_gdp,wgi_voice_accountability_est
HN,Honduras,2013,20.1678,51.1,-0.5024,,100.0423813,87.3775687969259,63.335551,54.7226868179144,65084.86,8889278,,3436591735.7412186,12.191127940396145,11313397148.218672,167896770104855.0,1.26997668757297,10.1202,2081.128435279448,1.78208817924239,42.58739537173806,,0.013,65084.86,12.6088,2205.40126728067,116.306049247436,5.77862113948416,51.1,54.7226868179144,-0.5024379
HN,Honduras,2014,20.1338,52.2,-0.5609,,99.93898874,85.2365443166273,61.486189,55.0869372049161,64861.58,9063122,,3540799781.487467,12.538350133310502,11779638773.776058,169472411954576.0,1.29014896093747,9.9347,2179.8817197727058,2.2661279184441,40.60830717218064,,0.013,64861.58,12.6458,2229.24772232218,112.97509728471,8.62899693066618,52.2,55.0869372049161,-0.5608808
HN,Honduras,2015,21.1974,50.8,-0.6032,,100.0,87.1291789109486,64.375778,54.5936002238152,64638.3,9237305,,3680508357.759736,12.215978446811636,12343054908.4252,170686820193711.0,1.28892814635522,10.8188,2271.2026598034863,1.56846231223826,45.916436387752846,,0.012,64638.3,13.7614,2271.20265980349,107.26440535424,6.27594328427599,50.8,54.5936002238152,-0.603179399999999
HN,Honduras,2016,20.2606,52.7,-0.6578,,100.6106443,83.2180808679633,64.933063,57.8354023642267,64430.5,9412380,,3790282206.537493,12.049901405846365,12820756799.13511,172200762770042.0,1.47079984479796,9.7321,2307.3446835108152,2.01566335667541,52.11397019406026,,0.012,64430.5,12.8246,2315.72983058198,99.8157169505924,5.28156973350556,52.7,57.8354023642267,-0.6577893
HN,Honduras,2017,19.7636,45.6,-0.7103,,99.51800049,85.8717287831828,65.881674,57.7901974979755,64221.1,9588137,,3938888158.8814464,12.669768109487803,13311423054.149652,173896785161708.0,1.32232320453184,9.3472,2413.007656294202,1.72906722467945,61.23117765742806,,0.047,64221.1,12.3276,2383.37398439714,101.813111079622,4.10592046689605,45.6,57.7901974979755,-0.710326399999999
HN,Honduras,2018,19.6329,48.9,-0.7685,,99.53513012,77.7100953282111,67.288609,62.8149597149301,64011.6,9765210,,4093257633.725168,11.610160461364448,13829764733.563004,172815596652322.0,1.30379745800118,9.0061,2464.642415319176,1.07184110988038,66.76427765815647,,0.011,64011.6,12.1969,2430.13503657762,103.551162215452,5.99386120691106,48.9,62.8149597149301,-0.768458299999999
HN,Honduras,2019,21.0585,46.2,-0.8094,,100.1656403,76.0268304351136,66.419529,64.4630328325205,63802.1,9943633,,4142618298.976189,10.638033409475147,14464708060.79407,174899860075811.0,1.3338000446659,10.1525,2502.327443280727,0.916855208806467,57.20439395361938,,0.011,63802.1,13.6225,2447.61649282181,99.4599779937589,3.83846408231678,46.2,64.4630328325205,-0.8093716
HN,Honduras,2020,20.4058,50.2,-0.7832,,100.5258817,68.7836128557933,,71.2304636812084,63592.6,10119640,,3563043221.666677,12.188067140755257,13807212950.146864,170855665933073.0,1.30232943587999,9.222,2307.6149431951144,1.23326098347167,57.48458193318837,,0.011,63592.6,12.9698,2189.43168668222,88.0008563836292,1.0106822391556,50.2,71.2304636812084,-0.7831642
HN,Honduras,2021,21.739,45.9,-0.7454,,97.39611303,73.4771659564055,,67.7270471861986,63383.1,10289877,,4245185273.135883,10.893051926619322,15451513550.963732,173264639492344.0,1.10639439310594,10.3706,2735.1475150397705,1.22455313744521,64.62095323741008,,,63383.1,14.303,2423.76634916911,103.372643459918,2.84361329738544,45.9,67.7270471861986,-0.745449199999999
HN,Honduras,2022,22.2038,,-0.6395,,97.51813117,75.8551423411907,,70.0841626239484,63173.6,10463872,,4530257202.472647,12.47327302444554,16361949619.668232,170863877913311.0,0.835204158269837,10.5707,3003.289968263993,,,,,63173.6,14.7678,2482.22384904714,112.698524913966,2.41292398026651,,70.0841626239484,-0.6394536
HN,Honduras,2023,23.7822,,-0.6088,,,74.4148227156961,,75.6308247756834,62964.1,10644851,,4240005023.06748,11.978794840663154,17552623620.074436,170908624309096.0,1.25216609070576,11.8491,3227.457625097757,,,,,62964.1,16.3462,2527.27366333188,98.7919798336365,3.16136364280263,,75.6308247756834,-0.6088292
HN,Honduras,2024,,,,,,70.9397440517258,,78.22344042274,,10825703,,4154827476.141223,11.218653718505331,18716728436.748543,170951846108673.0,,12.2928,3426.4348332892264,,,,,,,2573.37159995648,91.1101585856976,3.52903749551745,,78.22344042274,-0.653545199999999
HT,Haití,1990,,87.2,,,,0.0,,11.6306942586576,3829.2,6854441,,2978369482.1592445,29.736751385480776,4843763001.750456,208997121021497.0,,1.1416,451.7202496892161,0.758980650078628,79.39698492462311,,0.0,3829.2,,1627.31264525633,46.4148543201609,0.258373747832002,87.2,11.6306942586576,
HT,Haití,1991,,87.5,,,,0.0,,10.3014880787741,3826.93,6995450,,2887419855.6210995,29.898799579576256,5089605406.536797,200420600557852.0,,1.1141,496.54598743386447,0.7545789249722,74.57264957264957,,0.0,3826.93,,1624.49598864977,39.8074901808928,-0.0518199955744869,87.5,10.3014880787741,
HT,Haití,1992,,87.7,,,95.04204342,0.0,,10.1478546579049,3824.66,7136571,,2633848598.655389,34.120607846926944,5007355077.141616,2013014878769.0,,1.0366,316.2765131343539,1.16755024661594,75.88652482269504,,0.0,3824.66,,1507.81872889823,32.5376884422111,-0.0974689186316196,87.7,10.1478546579049,
HT,Haití,1993,,89.4,,,95.0966449,0.0,,10.8639150332441,3822.39,7278181,,2501415898.686645,30.847042569726277,4770401662.764107,200927456240361.0,,0.8775,258.0663722588169,1.25091936869488,75.27472527472527,,0.0,3822.39,,1398.25464638175,48.7522666436404,-0.149074637768759,89.4,10.8639150332441,
HT,Haití,1994,,96.7,,,95.78546846,0.0,,10.1792922181545,3820.12,7419771,,1603282220.0609512,33.92825808066585,4244327033.57268,197116323151241.0,,0.4142,292.134224374091,1.18848565185335,82.91814946619218,,0.0,3820.12,,1207.6605445003,31.1336399762195,-0.129176969241841,96.7,10.1792922181545,
HT,Haití,1995,,87.0,,,95.56244095,0.0,,12.4541321384602,3817.85,7562546,,1671647840.566794,23.555397360483525,4436308085.284339,195514756814586.0,,1.1266,372.0061046651246,1.22519462633385,51.11111111111111,,0.0,3817.85,,1302.13491168553,37.8478190633142,0.2630350503705,87.0,12.4541321384602,
HT,Haití,1996,,86.0,,,95.47805288,0.0,,12.7900707440993,3815.58,7707557,,1764743020.2509198,19.49536090209445,4921477034.330474,2030302164815.0,,1.2806,377.22946502597233,0.942847807917707,44.95867768595041,,0.0,3815.58,,1330.54039885269,40.223379852938,0.141013763586083,86.0,12.7900707440993,-0.771484
HT,Haití,1997,,84.6,,,98.21003926,0.0,,15.6887662481946,3813.31,7854298,,1769277014.4060109,20.81466133392586,5169556715.776542,213937356244401.0,,1.4957,425.1110858792564,0.993751372688353,33.057851239669425,,0.0,3813.31,,1340.99702096807,36.8940488093915,0.11979817057364,84.6,15.6887662481946,
HT,Haití,1998,,83.3,,,98.30341676,0.124055688,,14.13565725352,3811.04,8002143,,1774331972.3490164,21.16247281616585,5358258701.291334,213186686659374.0,,1.5327,465.36330625905066,0.778424833674881,46.15384615384615,,0.0,3811.04,,1344.9390395747,36.5207867041288,0.288944097337968,83.3,14.13565725352,-0.808489999999999
HT,Haití,1999,,82.0,,,97.09812991,0.304545982,,14.4624281629942,3808.77,8151296,,1721249993.7893224,22.561070840673462,5575895489.753076,211685857795812.0,,1.603,509.57858527537496,0.619396171409139,58.02292263610315,,0.0,3808.77,,1356.11344556059,41.9484795102088,0.722243133970601,82.0,14.4624281629942,
HT,Haití,2000,9.648,80.8,-0.9124,,96.97818082,0.662399130161549,,9.01797134417478,3806.5,8303151,,1712102394.4904127,17.185516717203036,5797831943.690733,21238924310907.0,,1.6951,820.6000467614642,0.349449568493596,51.73674588665448,,0.0,3806.5,10.7962,1342.89490450523,27.1535220636918,0.194464980712557,80.8,9.01797134417478,-0.9124186
HT,Haití,2001,9.7465,80.9,,,98.34471807,1.08208239483874,,8.34335061835139,3804.23,8455918,,1712613541.1594048,16.450578607129703,5866861045.960782,207977619113925.0,,1.728,748.821159844528,0.383295015006936,47.64309764309764,,0.0,3804.23,10.8947,1314.11419693969,27.569933019116,0.0694886389960982,80.9,8.34335061835139,
